tender_no,source_files,folder_path
2024_UAD_384628_9,"[""UAD.html_1734439659_1629450077.html""]",tender-documents
2024_UCIL_218499_1,"[""ucil.pdf_1734150858_1406486891.pdf""]",tender-documents
2024_UDD_96673_1,"[""UDD.pdf_1734438522_4098212.pdf""]",tender-documents
2024_UPJVN_959309_1,"[""1727509395.pdf""]",tender-documents
2024_UPNED_968976_1,"[""UP_SOLAR.html_1732271758_994065160.html""]",tender-documents
2024_UPTCL_976560_1,"[""UPT.html_1732947021_2034673332.html""]",tender-documents
2024_UPTCL_976560_2,"[""UPPTCL.pdf_1738140485_2114143272.pdf""]",tender-documents
2024_UTDNH_7323_1,"[""UT.html_1731750353_1493159739.html""]",tender-documents
2024_WRRAJ_181598_2,"[""IOCL_RAJKOT.html_1732953851_1215537070.html""]",tender-documents
2024_ZPHD_772058_1,"[""zp.html_1732532098_1833980385.html""]",tender-documents
2025-26/Estate/2B/LNM-1229,"[""supply-and-installation-of-variable-refrigerant-volume-vrv-variable-refrigerant-flow-vrf-air-conditioning-machines-for-boys-hostel1-and-girls-hostel_1766585169.docx_1767428693_1239012154.docx""]",tender-documents
2025245212054R,"[""viewNitPdf_5249877.pdf_1769458214_931100169.pdf""]",tender-documents
2025_AAI_234581_1,"[""Tendernotice_1_(8).pdf_1749547544_822747555.pdf""]",tender-documents
2025_AAI_236054_1,"[""3.pdf_1748244019_660791624.pdf""]",tender-documents
2025_AAI_236102_1,"[""Government_eProcurement_System.pdf_1748675616_615219191.pdf""]",tender-documents
2025_AAI_236781_1,"[""GeM-Bidding-7759152.pdf_1750418750_1097168880.pdf"", ""Tendernotice_1_(15).pdf_1750419164_2054556217.pdf""]",tender-documents
2025_AAI_239329_1,,tender-documents
2025_AAI_240520_1,"[""BOQ_275049.xls_1754045658_823922067.xls"", ""TD_pub.pdf_1754045658_713776807.pdf"", ""Tendernotice_1_(33).pdf_1754045658_1093862610.pdf""]",tender-documents
2025_AAI_245986_1,"[""BOQ_282127.xls_1756551640_1309024190.xls"", ""tenderdoc.pdf_1756551640_878581155.pdf"", ""Tendernotice_1_(1).pdf_1756551640_2120036701.pdf""]",tender-documents
2025_AAI_246253_1,"[""Tendernotice_1_(3).pdf_1757156220_2111979285.pdf"", ""BOQ_281989.xls_1757156220_1525378514.xls"", ""tender_book.pdf_1757156220_270587407.pdf""]",tender-documents
2025_AAI_248578_1,"[""92406718.pdf_1758522140_992756650.pdf""]",tender-documents
2025_AAI_248744_1,"[""92718744.pdf_1758785610_852989972.pdf"", ""92718744_(1).xls_1758785610_77009180.xls""]",tender-documents
2025_AAI_248919_1,"[""Tendernotice_1_(36).pdf_1759146463_1517162535.pdf""]",tender-documents
2025_AAI_249165_1,"[""Tendernotice_1_(17).pdf_1758534268_96507386.pdf""]",tender-documents
2025_AAI_250397_1,"[""Tendernotice_1_(23).pdf_1758974357_1456546983.pdf"", ""AAI.pdf_1758974357_122260185.pdf""]",tender-documents
2025_AAI_250674_1,"[""92974483.pdf_1759491058_1044085854.pdf"", ""92974483.xls_1759491058_1138860185.xls""]",tender-documents
2025_AAI_250993_1,"[""Tendernotice_1_(6).pdf_1760343433_1335130344.pdf""]",tender-documents
2025_AAI_251587_1,"[""Tendernotice_1_(7).pdf_1760343993_391349032.pdf""]",tender-documents
2025_AAI_253469_1,"[""93926084.xls_1763105844_1197461977.xls"", ""93926084.pdf_1763105844_1020308817.pdf""]",tender-documents
2025_AAI_255086_1,"[""94762149.pdf_1764586598_2139139029.pdf"", ""94762149.xls_1764586598_306606636.xls""]",tender-documents
2025_AAI_256261_1,"[""94866935.pdf_1764067475_1365248890.pdf"", ""94866935.xls_1764067475_679730125.xls""]",tender-documents
2025_AAI_256657_1,"[""Tendernotice_1_(6).pdf_1764592539_1045483117.pdf""]",tender-documents
2025_AAI_256926_1,"[""95085945.pdf_1764832243_1861546488.pdf"", ""95085945.xls_1764832243_670710345.xls""]",tender-documents
2025_AAI_257985_1,"[""95492630.pdf_1765971957_2018572643.pdf"", ""95492630.xls_1765971957_1382679203.xls""]",tender-documents
2025_AAI_259097_1,"[""95730824.pdf_1767348387_858334251.pdf"", ""95730824.xls_1767348387_995042487.xls""]",tender-documents
2025_AEGCL_46991_1,"[""AEGCL.pdf_1757333718_2119021406.pdf"", ""eProcurement_System_Government_of_Assam_(2).pdf_1757333718_1546528778.pdf""]",tender-documents
2025_AEGCL_48064_1,"[""93590867_(4).pdf_1763972522_1289637771.pdf"", ""93590867_(1).pdf_1763972522_97456882.pdf"", ""93590867_(2).pdf_1763972522_2123507241.pdf"", ""93590867_(3).pdf_1763972522_145882538.pdf"", ""93590867.pdf_1763972522_1954565002.pdf"", ""93590867.xls_1763972522_149349340.xls""]",tender-documents
2025_AIIMB_883291_1,"[""94035553.pdf_1762337952_1119874854.pdf""]",tender-documents
2025_AIMSJ_887015_1,"[""94996960.pdf_1764419289_668260268.pdf"", ""94996960.xls_1764419289_608203960.xls""]",tender-documents
2025_AIMSJ_887015_2,"[""Bid.pdf_1768543414_1394704930.pdf"", ""BOQ_938535.xls_1768543414_1589366791.xls"", ""NIT.pdf_1768543414_269877452.pdf"", ""Tendernotice_1_(36).pdf_1768543414_1737991783.pdf""]",tender-documents
2025_ALIMC_890507_1,"[""AMLCI.pdf_1766140252_894432295.pdf"", ""Tendernotice_1_-_2025-12-19T155228.890.pdf_1766140252_1915140684.pdf""]",tender-documents
2025_AMSPA_878850_1,"[""tenderdoc.pdf_1759225667_85100795.pdf"", ""AIIMS2.pdf_1759225667_1044990334.pdf"", ""aiims.pdf_1759225667_1055281116.pdf""]",tender-documents
2025_APDCL_48268_1,"[""RFP.pdf_1761812137_1993348099.pdf"", ""UPS.pdf_1761812137_1843552065.pdf"", ""Tendernotice_1_(53).pdf_1761812137_116194483.pdf""]",tender-documents
2025_AVVNL_514256_1,"[""94730749_(1).pdf_1763623978_1241235238.pdf""]",tender-documents
2025_BARC_880669_1,"[""93441315.pdf_1760598432_1799292614.pdf"", ""93441315.xls_1760598432_711120020.xls""]",tender-documents
2025_BARC_885884_1,"[""94695234.pdf_1764074473_485854223.pdf""]",tender-documents
2025_BARC_891069_1,"[""95971636.xls_1767867118_558452073.xls"", ""95971636_(1).pdf_1767867118_1934263237.pdf"", ""95971636.pdf_1767867118_961493358.pdf""]",tender-documents
2025_BBMB_236016_1,"[""Tendernotice_1_(7).pdf_1749533528_1471757225.pdf""]",tender-documents
2025_BBMB_244052_1,"[""BOQ_278787.xls_1755934459_1657832110.xls"", ""Tendernotice_1.pdf_1755934459_1494177012.pdf""]",tender-documents
2025_BCPL_820027_1,"[""BCPL2025-26_ET_53.pdf_1765535202_946635696.pdf"", ""Tendernotice_1_(8).pdf_1765535202_806821158.pdf""]",tender-documents
2025_BEL_98298_1,"[""Tendernotice_1_(45).pdf_1761388585_1251726097.pdf"", ""BEL.pdf_1761388585_72823126.pdf""]",tender-documents
2025_BEL_98527_1,"[""WhatsApp_Image_2025-12-01_at_3.15.41_PM.jpeg_1764582432_1150124383.jpeg""]",tender-documents
2025_BHEL_47370_1,"[""Government_eProcurement_System.pdf_1745655829_2002065153.pdf""]",tender-documents
2025_BHEL_47385_1,"[""BHEL.pdf_1745039602_704820515.pdf""]",tender-documents
2025_BHEL_51810_1,"[""Government_eProcurement_System.pdf_1755674085_1057298018.pdf""]",tender-documents
